template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-01-17,2025-01-17T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.024616300011985004,15482.968387038205,655,764,109
2025-01-17,2025-01-17T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02823180000996217,13230.079257337838,439,512,73
2025-01-17,2025-01-17T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008276499982457608,5479.283511997001,223,260,37
2025-01-17,2025-01-18T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00023819998023100197,191.39090933333335,7,8,1
2025-01-18,2025-01-18T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.020528699998976663,29908.51154263461,577,865,144
2025-01-18,2025-01-18T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025267599994549528,17196.77568335795,655,764,109
2025-01-18,2025-01-18T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03439250000519678,14444.500161464934,439,512,73
2025-01-18,2025-01-18T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008272000006400049,5785.21252143833,223,260,37
2025-01-18,2025-01-19T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00022679998073726892,269.92107466666664,7,8,1
2025-01-19,2025-01-19T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014525300008244812,60991.17390276132,577,865,144
2025-01-19,2025-01-19T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.036639400001149625,48325.87055490096,655,764,109
2025-01-19,2025-01-19T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.010841800016351044,36273.28731797711,439,512,73
2025-01-19,2025-01-19T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008102599997073412,13747.160456330663,223,260,37
2025-01-19,2025-01-20T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00022149999858811498,251.901298,7,8,1
2025-01-20,2025-01-20T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.021623199980240315,61947.652999581,577,865,144
2025-01-20,2025-01-20T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025867000018479303,48158.65651879627,655,764,109
2025-01-20,2025-01-20T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.019000400003278628,34318.8301254428,439,512,73
2025-01-20,2025-01-20T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0075567000021692365,13950.010023444,223,260,37
2025-01-20,2025-01-21T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002170999941881746,264.36868866666657,7,8,1
2025-01-21,2025-01-21T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023076400015270337,61916.9651350409,577,865,144
2025-01-21,2025-01-21T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.029468199994880706,46643.6916738139,655,764,109
2025-01-21,2025-01-21T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.018526899977587163,34347.329921772165,439,512,73
2025-01-21,2025-01-21T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007757399987895042,13934.702525795667,223,260,37
2025-01-21,2025-01-22T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.000221800000872463,272.66940239999997,7,8,1
2025-01-22,2025-01-22T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014279099996201694,64118.544549429105,577,865,144
2025-01-22,2025-01-22T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.041088600002694875,49478.981722717974,655,764,109
2025-01-22,2025-01-22T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05385070000193082,35667.15597009661,439,512,73
2025-01-22,2025-01-22T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008900300017558038,13899.585038354333,223,260,37
2025-01-22,2025-01-23T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00022629997693002224,255.22289479999995,7,8,1
2025-01-23,2025-01-23T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014077400002861395,61960.67308557656,577,865,144
2025-01-23,2025-01-23T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.028944400022737682,49215.84489357781,655,764,109
2025-01-23,2025-01-23T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.019020400010049343,35242.848736669745,439,512,73
2025-01-23,2025-01-23T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008408399997279048,13813.078507136664,223,260,37
2025-01-23,2025-01-24T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00023320000036619604,200.69776586666663,7,8,1
2025-01-24,2025-01-24T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02357250000932254,24921.988635334877,577,865,144
2025-01-24,2025-01-24T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03042939997976646,12698.364164801851,655,764,109
2025-01-24,2025-01-24T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025110899994615465,13560.355849592235,439,512,73
2025-01-24,2025-01-24T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008350899996003136,5479.403435497331,223,260,37
