template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_status,termination_condition,mip_gap,runtime_seconds,adjustment_objective
2025-01-14,2025-01-14T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.01931249999324791,0.0
2025-01-14,2025-01-15T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00023609999334439635,0.0
2025-01-15,2025-01-15T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-15,2025-01-15T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.031111300020711496,4956.550755882348
2025-01-15,2025-01-15T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.013440900016576052,3259.1011238108376
2025-01-15,2025-01-15T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.011427900026319548,0.0
2025-01-15,2025-01-16T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003437999985180795,0.0
2025-01-16,2025-01-16T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-16,2025-01-16T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.05227220000233501,3084.5262886447163
2025-01-16,2025-01-16T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.03026189998490736,1322.0350400093253
2025-01-16,2025-01-16T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.010643599991453812,0.0
2025-01-16,2025-01-17T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00038750001112930477,0.0
2025-01-17,2025-01-17T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-17,2025-01-17T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03228980000130832,0.0
2025-01-17,2025-01-17T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.0341476000030525,108.00476710888343
2025-01-17,2025-01-17T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.009996999986469746,0.0
2025-01-17,2025-01-18T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00035489999572746456,0.0
2025-01-18,2025-01-18T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-18,2025-01-18T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.06628359999740496,55.12090030545099
2025-01-18,2025-01-18T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.028915699978824705,0.0
2025-01-18,2025-01-18T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.010992900002747774,0.0
2025-01-18,2025-01-19T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00024579997989349067,0.0
2025-01-19,2025-01-19T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-19,2025-01-19T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03569499999866821,2515.725072651599
2025-01-19,2025-01-19T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.010929600015515462,2936.822381532516
2025-01-19,2025-01-19T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.011325200001010671,0.0
2025-01-19,2025-01-20T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003552999987732619,0.0
2025-01-20,2025-01-20T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-20,2025-01-20T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.04495830001542345,1230.1928027377767
