template_date,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-04-30,0,48031.76614070233,46401.70553613233,1630.060604570001,62104.27827666666,455.0730500000007,14302.49662666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-01,0,63270.52758334869,46585.48355548533,16685.04402786336,60092.01858999999,3457.20323333334,12537.842723333331,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-02,0,29221.64492708334,21621.70075456333,7599.944172520007,35821.766879999996,1923.5921400000018,23455.03892,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-03,0,28304.449087516667,21890.916091888328,6413.532995628339,36561.241683333334,1460.8114566666684,29154.881339999996,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-04,0,57406.608627411675,48740.217473854995,8666.391153556679,62890.30335333332,1821.46318666667,12977.098839999999,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-05,0,63179.804165882015,47106.89877227033,16072.90539361168,60606.36665999999,3502.3636633333367,9032.722623333331,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-06,0,58459.49783653367,50715.826699827,7743.671136706678,64030.44260999999,1844.7035633333367,13005.063573333331,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-07,0,60271.01325501902,50374.507352824,9896.505902195013,63864.18710666666,2148.3274166666697,10944.668723333332,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-08,0,55508.179629136335,53739.28184088633,1768.8977882500053,67647.08013333332,386.873653333335,12207.440986666661,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-09,0,24642.674167753,23663.247870764666,979.4262969883351,38647.03532333333,373.34555000000057,30520.995173333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-10,0,24898.558424888666,24352.640174665332,545.9182502233347,39414.556716666666,197.51563666666732,27491.02685333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-11,0,55858.39608216067,54756.799597813995,1101.5964843466697,68910.13943333333,324.1251533333348,13750.185786666661,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-12,0,54052.034436060334,52320.14123058033,1731.893205480004,66745.20800666665,451.4967033333344,15265.509709999991,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-13,0,54454.45807356767,50241.410313604334,4213.047759963334,64624.355573333334,864.0926400000003,12359.235713333328,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-14,0,52553.15518725666,51524.390995676666,1028.7641915799982,66208.57219666666,299.68902999999983,13494.112926666661,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-15,0,54805.87481637633,50726.83316795966,4079.0416484166713,64651.82379333333,1046.7327100000011,12933.497503333328,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-16,0,24205.073246049,23589.53072252733,615.5425235216683,38675.21368333333,305.2766000000006,36264.98408333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-17,0,24324.709189499663,23469.96293628133,854.7462532183347,38176.27415999999,365.37571666666713,28092.850276666664,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-18,0,55713.790195384,51763.727764683994,3950.0624307000016,66607.84374,903.5743500000009,13835.249489999995,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-19,0,52056.408517188,50660.07677514133,1396.3317420466674,64869.92880333333,265.94798333333364,17620.65998666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-20,0,52621.24391316101,49633.720598674336,2987.523314486671,63739.22353666666,787.3833133333342,9999.210949999995,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-21,0,51958.24069281167,51108.97121840667,849.2694744050046,65709.55806333333,239.06559000000118,14586.007853333329,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-22,0,51512.812324431,50167.10414767599,1345.7081767550012,64852.99328666665,349.66480333333413,14386.027389999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-23,0,23895.698370612998,23150.743617989665,744.9547526233338,38277.00662666666,294.30526333333376,32150.36209,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-24,0,24009.01459741366,23686.401055776994,322.61354163666675,38721.90756666666,127.14538000000019,35094.55154666667,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-25,0,51484.43415793934,50540.31976563933,944.1143923000036,65202.67226333333,196.21501333333399,16853.875976666663,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-26,0,53339.825185114336,48865.83881196433,4473.986373150008,63296.25504666666,1082.235313333335,9798.656459999995,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-27,0,52320.07617806966,52008.37167471466,311.7045033550017,66457.72919333333,125.27233333333399,17192.633826666664,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-28,0,51985.01395959033,49831.17479539866,2153.8391641916655,63716.79775999999,555.9961199999998,11998.969179999995,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-29,0,52899.00194510633,51088.06165550966,1810.9402895966714,64641.76748999999,495.07125000000144,11026.716239999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-30,0,23955.21894451833,23316.83379822166,638.3851462966659,38282.79918666666,233.63503999999978,31920.200026666662,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-05-31,0,24295.714180740335,23298.104596940335,997.6095838000017,38557.25335666667,364.9637533333339,30533.035509999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-01,0,86595.88825724035,54846.48404787199,31749.40420936836,66105.55242666666,7310.093056666672,2190.819083333331,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-02,0,84358.23387922501,59694.18606105332,24664.04781817169,71490.81294,5797.299860000006,8647.305099999998,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-03,0,74712.17737370667,60139.36216775332,14572.815205953348,71718.56279999999,3485.593626666671,7011.788626666665,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-04,0,77231.44563621435,59426.109787420995,17805.335848793355,70687.93112333333,4327.550113333339,5370.2203366666645,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-05,0,79267.69206899867,60501.27799386365,18766.41407513502,71492.73418,4596.312213333338,4939.728393333329,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-06,0,44367.91149856434,26243.121814105994,18124.789684458345,40055.45971333333,4950.849683333336,14151.313196666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-07,0,35990.834192643335,27940.92463294833,8049.909559695005,42622.34022,2285.306660000001,13781.133479999997,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-06-08,0,73422.98688456298,73259.75247707132,163.23440749166656,88063.16747999999,54.544963333333264,22932.789143333324,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
