template_date,period,status,solver_name,solver_version,termination_condition,mip_gap,runtime_seconds
2025-05-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.052268899977207184
2025-05-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.2020195839124443e-16,0.07096339997951873
2025-05-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024746699986280873
2025-05-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.036756400018930435
2025-05-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02354140000534244
2025-05-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0245887000055518
2025-05-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.026500600011786446
2025-05-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025773000001208857
2025-05-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029994100012117997
2025-05-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025454600021475926
2025-05-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023659100028453395
2025-05-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.054236799973296
2025-05-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032913200004259124
2025-05-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03479229999356903
2025-05-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04579229999217205
2025-05-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03397010001935996
2025-05-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.09442919999128208
2025-05-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.038337100006174296
2025-05-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03890710000996478
2025-05-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04101200000150129
2025-05-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05230070001562126
2025-05-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04912700000568293
2025-05-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02350410001236014
2025-05-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028865400003269315
2025-05-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03782120000687428
2025-05-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03550790000008419
2025-05-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03372229999513365
2025-05-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03519090000190772
2025-05-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03373439999995753
2025-05-31,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02941729998565279
2025-06-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024084600008791313
2025-06-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028933399997185916
2025-06-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022204299981240183
2025-06-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022022199991624802
2025-06-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,3.2327147265009174e-16,0.02078239998081699
2025-06-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021574600017629564
2025-06-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.06926819999353029
2025-06-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05452609999338165
2025-06-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02716660001897253
2025-06-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027535200002603233
2025-06-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020795300020836294
2025-06-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019327799993334338
2025-06-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02131310000550002
2025-06-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04226719998405315
2025-06-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05772770001203753
2025-06-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0220878999971319
2025-06-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0286125999991782
2025-06-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,2.9675936449172763e-16,0.014522099983878434
2025-06-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.578559904509301e-16,0.020727099996292964
2025-06-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02215269999578595
2025-06-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029498099989723414
2025-06-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.07939170001191087
2025-06-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022270799992838874
2025-06-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023604500020155683
2025-06-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02843520001624711
2025-06-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028440599999157712
2025-06-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022110999998403713
2025-06-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.06401899998309091
2025-06-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.09587620000820607
2025-06-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02184309999574907
2025-07-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023441099998308346
2025-07-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.4046216546598714e-16,0.023133099981350824
2025-07-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02067580001312308
2025-07-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021993600006680936
2025-07-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03845220000948757
2025-07-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.031114400015212595
2025-07-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02898450000793673
2025-07-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027366399997845292
2025-07-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02292180000222288
2025-07-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02311320000444539
2025-07-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02454409998608753
2025-07-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02421960001811385
2025-07-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02885450000758283
2025-07-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02623650000896305
2025-07-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02280910001718439
2025-07-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02340030000777915
2025-07-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.519344596052189e-16,0.0245576000015717
2025-07-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021167200000490993
2025-07-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03012999999918975
2025-07-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03443079997668974
2025-07-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022604500001762062
2025-07-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021079700003610924
2025-07-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02337830001488328
2025-07-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021959500008961186
2025-07-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02179730002535507
2025-07-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02836090000346303
2025-07-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.031163800013018772
2025-07-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021064800006570294
2025-07-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.026823599997442216
2025-07-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02663170002051629
2025-07-31,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023047299997415394
2025-08-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029908199998317286
2025-08-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05772050001542084
2025-08-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.08600949999527074
2025-08-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.033501300000352785
2025-08-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03836949999094941
2025-08-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.035791799979051575
2025-08-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02373390001594089
2025-08-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05406829999992624
2025-08-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029088999988744035
2025-08-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04346169999917038
2025-08-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.034652999980608
2025-08-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.026442899979883805
2025-08-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024841800011927262
2025-08-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03818669999600388
2025-08-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03927740000654012
2025-08-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024238000012701377
2025-08-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04875470002298243
2025-08-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04782000000705011
2025-08-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02235740001196973
2025-08-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03816430000006221
2025-08-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021703400008846074
2025-08-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02423930002260022
2025-08-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02243729998008348
2025-08-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.06312069998239167
2025-08-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02555770002072677
2025-08-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020082100003492087
2025-08-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023122400016291067
2025-08-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023251900012837723
2025-08-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020501500024693087
2025-08-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.030923000012990087
2025-08-31,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02829429999110289
2025-09-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03627260000212118
2025-09-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03901830001268536
2025-09-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03921790001913905
2025-09-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.9576604323407745e-16,0.03728570000384934
2025-09-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.056024599994998425
2025-09-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02967479999642819
2025-09-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03473959999973886
2025-09-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03355349999037571
2025-09-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02562999998917803
2025-09-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.06700909999199212
2025-09-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023844700015615672
2025-09-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04512039999826811
2025-09-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0710763999959454
2025-09-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.08142219998990186
2025-09-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02292779998970218
2025-09-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03700420001405291
2025-09-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0230835999827832
2025-09-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024198200000682846
2025-09-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02433680000831373
2025-09-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.055273300007684156
2025-09-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.030980699986685067
2025-09-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03592899997602217
2025-09-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022897399991052225
2025-09-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02580220001982525
2025-09-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023832500010030344
2025-09-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04320320000988431
2025-09-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02191129999118857
2025-09-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024564099992858246
2025-09-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021066499990411103
2025-09-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02343580001615919
2025-10-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023993700015125796
