period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-09,82557.30070189301,22815.690115226338,18480.708993333334,1331.5594266666676,8621.166606666664,51368.2435799367,6367.415094728337,57735.658674665036,1200.0,1200.0,638.1099999999997,1553.0273000000007
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-10,84230.51344666666,0.0,0.0,534.7355366666677,13146.804183333334,66980.99474220966,1900.460754488337,68881.45549669799,6000.0,6000.0,741.1089000000002,1141.2929999999997
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-10,88681.77509333333,23606.155666666666,19120.98609,534.7355366666677,13112.896253333332,56121.05155700719,1900.460754488337,58021.51231149553,1200.0,1200.0,741.1089000000002,1141.2929999999997
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-11,84842.87841,0.0,0.0,1024.378883333334,9782.811193333335,67110.94316270667,4446.296264393335,71557.2394271,6000.0,6000.0,547.4278000000004,1869.6374999999998
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-11,89459.53938580453,24416.645398971195,19777.482773166666,1046.8805333333344,9782.811193333335,56163.193197915825,4548.703170885003,60711.89636880083,1200.0,1200.0,547.4278000000004,1869.6374999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-12,89643.92356666666,0.0,0.0,175.87873000000002,17367.411696666662,71700.573241394,422.49719777333326,72123.07043916734,6000.0,6000.0,1295.2499999999995,1522.3382000000001
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-12,94362.25690000001,24833.333333333332,20115.0,175.87873000000002,17367.411696666662,60471.22773994399,422.49719777333326,60893.72493771733,1200.0,1200.0,1295.2499999999995,1522.3382000000001
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-13,86141.55801000001,0.0,0.0,0.0,57796.244309999995,68547.699402381,0.0,68547.699402381,6000.0,6000.0,3581.6229999999996,1295.9875999999995
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-13,90861.77438641975,24843.24408641975,20123.02771,0.0,57796.24431,57542.85465521997,0.0,57542.85465521997,1200.0,1200.0,3581.6229999999996,1295.9875999999995
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-14,48466.25938,0.0,0.0,264.2631433333337,22537.17912333333,36706.642901749336,656.6173549300012,37363.260256679336,6000.0,6000.0,1002.5999999999999,1599.5774999999994
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-14,44673.28876584362,15115.965732510285,12243.932243333331,264.2631433333336,15872.175020000002,25560.535610732793,656.617354930001,26217.152965662794,1200.0,1200.0,1002.5999999999999,1599.5774999999994
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-15,47521.05564333333,0.0,0.0,23820.894656666667,714.9759000000003,35465.869382726,105979.42316637,141445.292549096,6000.0,6000.0,3727.2454000000002,1446.3267999999998
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-15,41735.45563345679,13825.495790123456,11198.651590000001,31534.3946,16.031633333333275,24053.012157493074,138806.26473652333,162859.2768940164,1200.0,1200.0,3727.2454000000002,1446.3267999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-16,83653.12399333334,0.0,0.0,595.9032666666669,11554.97416,66424.28645790467,2250.781633268335,68675.068091173,6000.0,6000.0,511.5068000000001,1045.3136999999997
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-16,88302.4749719753,24470.268308641975,19820.917330000004,595.9032666666666,11554.97416,55424.27181647388,2250.7816332683346,57675.05344974222,1200.0,1200.0,511.5068000000001,1045.3136999999997
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-17,85926.06880666666,0.0,0.0,673.8136233333345,11962.871029999997,68350.88294660233,2592.1028596350047,70942.98580623734,6000.0,6000.0,576.6459999999997,1805.0625
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-17,90644.40213999999,24833.333333333332,20115.0,673.8136233333345,11962.871029999998,57295.72882593533,2592.1028596350047,59887.83168557034,1200.0,1200.0,576.6459999999997,1805.0625
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-18,87411.99354666666,0.0,0.0,21.98557333333342,16505.58732,69364.39746145133,57.11655932500025,69421.51402077633,6000.0,6000.0,533.2419,1480.6890000000003
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-18,92130.32688,24833.333333333332,20115.000000000004,21.98557333333342,16505.58732,58379.44944533099,57.11655932500025,58436.566004655986,1200.0,1200.0,533.2419,1480.6890000000003
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-19,83627.44786666665,0.0,0.0,305.4144199999996,15673.357486666664,66034.25146486034,1550.8936758449986,67585.14514070534,6000.0,6000.0,641.4700000000003,1766.9603000000006
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-19,88100.78257320987,23543.86687654321,19070.53217,305.41441999999944,15673.357486666664,55269.18201882048,1550.8936758449977,56820.07569466548,1200.0,1200.0,641.4700000000003,1766.9603000000006
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-20,81447.10433333334,0.0,0.0,0.0,59046.52353333333,64816.91932997,0.0,64816.91932997,6000.0,6000.0,3886.1677999999997,1058.1750000000002
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-20,85661.35690708313,23646.32526534979,19153.52346493333,0.0,58767.97430666666,53768.65169186062,0.0,53768.65169186062,1200.0,1200.0,3886.1677999999997,1058.1750000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-21,45611.37176,0.0,0.0,301.56575666666674,26578.197216666667,33975.063220509335,1292.1010877400006,35267.16430824934,6000.0,6000.0,801.4499999999998,1720.2402000000002
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-21,37778.904597386834,13358.278109053499,10820.205268333331,314.10164,16220.19309666667,21851.478390433942,1354.4346052066671,23205.91299564061,1200.0,1200.0,801.4499999999998,1720.2402000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-22,45475.4232,0.0,0.0,23876.778333333335,1894.8603333333326,33570.12664809667,105285.07397998334,138855.20062808,6000.0,6000.0,3794.89,1901.8500000000004
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-22,37435.485387037035,13824.888703703702,11198.15985,33047.087999999996,398.5033333333332,21197.977991625445,135219.46041238998,156417.4384040154,1200.0,1200.0,3794.89,1901.8500000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-23,80428.67660333333,0.0,0.0,381.3454233333338,13748.735926666666,63473.34888900199,1706.2224718266682,65179.57136082865,6000.0,6000.0,531.7393000000002,959.9624999999996
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-23,84861.2107892,24087.772346666665,19511.0956008,381.34542333333377,13604.593366666666,52714.99709379164,1706.222471826668,54421.2195656183,1200.0,1200.0,531.7393000000002,959.9624999999996
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-24,80219.2077,0.0,0.0,2477.8151633333355,6428.230163333332,64181.02602066733,9959.386768681674,74140.41278934901,6000.0,6000.0,685.5600000000004,2282.4000000000005
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-24,84223.54595249999,24248.98975,19641.6816975,3039.466643333335,6386.911843333333,53044.76404499683,11836.952292445007,64881.71633744184,1200.0,1200.0,685.5600000000004,2282.4000000000005
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-25,89605.06962,0.0,0.0,163.71836333333331,19331.36648333333,71307.993885885,716.4489725583331,72024.44285844332,6000.0,6000.0,672.3699999999999,1462.1134000000002
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-25,94323.40295333334,24833.333333333332,20115.0,163.71836333333331,19331.36648333333,60009.383717537,716.4489725583331,60725.83269009533,1200.0,1200.0,672.3699999999999,1462.1134000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-26,83448.77016333333,0.0,0.0,220.7164600000004,16122.102923333332,66195.22237049,1113.6855331516688,67308.90790364167,6000.0,6000.0,1051.5300000000002,2119.6847
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-26,88066.80474711934,24352.925563786008,19725.869706666665,220.7164600000003,16113.08165,55161.90468153748,1113.6855331516683,56275.59021468915,1200.0,1200.0,1051.5300000000002,2119.6847
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-27,80960.28031666667,0.0,0.0,0.0,61188.635116666665,64685.71622102567,0.0,64685.71622102567,6000.0,6000.0,3905.2475999999997,1553.3250000000007
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-27,85024.05454806585,23252.03895473251,18834.15155333333,0.0,60834.52194666667,53569.56492437079,0.0,53569.56492437079,1200.0,1200.0,3905.2475999999997,1553.3250000000007
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-28,45327.215696666666,0.0,0.0,228.09642000000005,23778.386016666664,33802.18192087733,714.495930823333,34516.67785170066,6000.0,6000.0,988.4299999999998,1340.8934999999992
