period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-06,67722.04738333332,0.0,0.0,925.8286833333341,10914.767366666663,53736.951510734994,3622.037439491669,57358.98895022666,6000.0,6000.0,792.2200000000003,922.6033000000007
formal_output,B1_WEEKDAY_MILP_R0,2025-10-06,62303.93709012345,21373.590123456786,17312.608,2789.8479166666657,3299.6941833333294,39099.15444872981,9963.265831849994,49062.420280579805,1200.0,1200.0,792.2200000000003,922.6033000000007
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-07,68571.89913333333,0.0,0.0,1064.602400000001,11864.938233333332,54511.458610454996,4352.22649981667,58863.68511027167,6000.0,6000.0,992.5337,514.6011999999992
formal_output,B1_WEEKDAY_MILP_R0,2025-10-07,64816.86864485596,21386.528744855965,17323.08828333333,1907.5090166666682,4889.3739,40508.262079384935,7727.988376000005,48236.25045538494,1200.0,1200.0,992.5337,514.6011999999992
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-08,65513.615883333325,0.0,0.0,1244.0238166666688,10279.1446,51531.665401545,5150.22732592501,56681.89272747,6000.0,6000.0,382.5501999999997,754.5729999999994
formal_output,B1_WEEKDAY_MILP_R0,2025-10-08,61700.46047139917,21408.533621399176,17340.912233333333,1834.6569666666683,2989.0009499999987,37463.32873167512,6643.628366558341,44106.95709823346,1200.0,1200.0,382.5501999999997,754.5729999999994
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-09,64696.461183333326,0.0,0.0,1589.4122500000021,10525.89153333333,50851.913208926664,6804.370612066675,57656.28382099334,6000.0,6000.0,481.8699000000006,1324.5295000000006
formal_output,B1_WEEKDAY_MILP_R0,2025-10-09,60372.47643333332,21333.33333333333,17280.0,2261.0334666666686,2820.1946666666636,36638.39574593166,9815.677926491675,46454.073672423336,1200.0,1200.0,481.8699000000006,1324.5295000000006
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-10,37368.05755,0.0,0.0,1553.7976166666674,29578.243266666665,27612.448319555,5476.711960991669,33089.16028054667,6000.0,6000.0,403.6470000000004,1011.0020999999997
formal_output,B1_WEEKDAY_MILP_R0,2025-10-10,29660.28596255144,15573.13199588477,12614.236916666667,1637.3326666666678,18995.111650000003,15161.191383848642,5854.44686341667,21015.638247265313,1200.0,1200.0,403.6470000000004,1011.0020999999997
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-11,38496.28648333334,0.0,0.0,829.3664666666675,25219.339049999995,28409.988319313336,3650.750088266671,32060.738407580007,6000.0,6000.0,457.6699999999996,1637.699999999999
formal_output,B1_WEEKDAY_MILP_R0,2025-10-11,30856.154770781894,15929.131337448558,12902.596383333334,1895.5716666666667,15618.877583333335,15851.316427289235,8312.9067377,24164.223164989235,1200.0,1200.0,457.6699999999996,1637.699999999999
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-12,67092.74868333334,0.0,0.0,995.474600000002,9573.266783333333,52911.98476833166,4042.0459118083427,56954.03068014001,6000.0,6000.0,372.9499999999998,924.0198
formal_output,B1_WEEKDAY_MILP_R0,2025-10-12,63982.9514,21385.166666666668,17321.985,1930.799450000002,3335.612683333333,39049.31376782166,7641.504871925008,46690.81863974666,1200.0,1200.0,372.9499999999998,924.0198
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-13,65774.57500000001,0.0,0.0,1263.4849500000018,10010.664549999996,51810.25553939666,5387.164192166674,57197.419731563336,6000.0,6000.0,372.5300000000002,1179.7997999999998
formal_output,B1_WEEKDAY_MILP_R0,2025-10-13,62766.6127201646,21394.23572016461,17329.33093333333,1545.3390166666684,3219.6515499999978,38185.303688138636,6537.144580541673,44722.44826868031,1200.0,1200.0,372.5300000000002,1179.7997999999998
