period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-08-30,39662.980317283946,14505.928950617279,11749.80245,2786.3277166666685,21180.460733333337,23214.91292730864,10491.977675200007,33706.89060250865,1200.0,1200.0,1250.94,1670.5344000000005
formal_output,B0_NO_STORAGE_REFERENCE,2025-08-31,47296.58346666666,0.0,0.0,26543.978333333336,7193.938399999999,35342.767379741665,113725.38302984167,149068.15040958335,6000.0,6000.0,3773.8399999999997,1731.0749999999998
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-08-31,39126.02287037036,13137.400370370367,10641.294299999998,33814.8998,3798.1931999999997,23121.381740891666,142546.62251806667,165668.00425895833,1200.0,1200.0,3773.8399999999997,1731.0749999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-01,73961.88633333333,0.0,0.0,27.061233333333462,20414.81316666666,58139.722195715,69.45567053333359,58209.177866248334,6000.0,6000.0,1237.2599999999998,998.7083999999995
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-01,70670.74343077777,20541.02814444444,16638.232796999997,484.23463333333325,13678.04831666666,45114.02919551906,1735.1938120499992,46849.22300756906,1200.0,1200.0,1237.2599999999998,998.7083999999995
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-02,62344.96105,0.0,0.0,2877.1017333333357,11164.307283333332,48760.298590901664,12504.162848458342,61264.461439360006,6000.0,6000.0,444.4300000000003,1233.2172
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-02,57181.20447427983,18831.613724279836,15253.607116666666,3920.1419666666698,3465.5843333333314,35531.42840183203,17594.780990983345,53126.20939281538,1200.0,1200.0,444.4300000000003,1233.2172
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-03,63909.57288333333,0.0,0.0,2866.4218833333366,11228.277666666665,50323.06984643666,11057.987917766679,61381.05776420334,6000.0,6000.0,534.4763000000003,1299.6731
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-03,58039.00379465021,20819.120761316877,16863.487816666668,4382.37306666667,2918.0268166666674,35948.61584959854,16095.78811806668,52044.40396766522,1200.0,1200.0,534.4763000000003,1299.6731
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-04,64375.18324999999,0.0,0.0,2369.836016666668,12819.453166666663,50356.53031806167,10973.921906075004,61330.45222413667,6000.0,6000.0,724.8027999999999,1356.6059999999998
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-04,59132.51781522633,18827.625781893006,15250.376883333334,2753.436900000001,4383.139716666665,37166.5968928205,12066.090467250004,49232.6873600705,1200.0,1200.0,724.8027999999999,1356.6059999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-05,64850.017016666665,0.0,0.0,0.0,58025.75551666666,51210.887177829994,0.0,51210.887177829994,6000.0,6000.0,3649.4135,1100.8500000000004
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-05,58016.31796934156,20173.51378600823,16340.546166666665,0.0,47359.08885,36734.655433905675,0.0,36734.655433905675,1200.0,1200.0,3649.4135,1100.8500000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-06,38040.09778333334,0.0,0.0,1528.2013500000012,31847.21573333333,28477.726497576667,5566.479824708338,34044.206322285005,6000.0,6000.0,632.8299999999999,1792.2089999999998
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09-06,29953.691095679016,13580.315679012347,11000.0557,1606.0217166666675,21258.369433333333,16263.801850125368,5933.014211783337,22196.816061908707,1200.0,1200.0,632.8299999999999,1792.2089999999998
