experiment,track,month,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,saving_vs_original_b0_yuan,saving_vs_original_b1_yuan,saving_vs_matched_b0_yuan
recent_buffer,B1,2025-09,1963994.0537422793,616082.1189325104,499026.5163353334,121470.60674860084,580025.1868937035,1211010.892115905,510840.2439874824,1721851.1361033872,316662.3027607444,145682.11793236225,254860.7835495553
recent_buffer,B1,2025-10,2025935.9216377106,657558.8105844444,532622.6365733999,126228.79862999999,552094.9530566667,1234152.2500573285,534430.4326976881,1768582.6827550172,334347.5897459562,120365.56097463534,290300.4473036366
recent_buffer,B1,2025-11,2126971.4869489777,672618.6329006173,544821.0926494999,190431.23360880662,401632.7730066666,1303003.2783020795,809535.0399569115,2112538.318258991,292495.63220031565,132271.52980022348,229088.1344707098
recent_buffer,B1,2025-12,2776996.777622469,760079.6591358024,615664.5239,151206.28612000003,419750.9925066666,1740434.3737906492,640604.3676722368,2381038.741462887,412175.3288893092,137266.83232505043,325660.0219741186
weekday_buffer,B0,2025-02,1977277.578003333,0.0,0.0,14793.83471666668,278191.7359199999,1555161.3134095147,59542.202711675054,1614703.5161211898,567081.8542785856,398012.8920955367,0.0
weekday_buffer,B0,2025-03,1918952.6089466664,0.0,0.0,20306.615050000015,412941.55659666663,1499230.7548840328,82400.31012457506,1581631.065008608,584977.6094389406,451416.56769620476,0.0
weekday_buffer,B0,2025-04,1714635.8808033334,0.0,0.0,16483.121626666685,513389.39853000006,1320148.640953197,68737.94339787507,1388886.5843510723,447763.45094703767,349018.04241386766,0.0
weekday_buffer,B0,2025-05,1740500.3218233336,0.0,0.0,26793.463560000022,580483.3122833333,1347025.3621908065,115626.07852921505,1462651.4407200217,410147.08907015214,287727.10919343535,0.0
weekday_buffer,B0,2025-06,2134354.697676667,0.0,0.0,44073.51389333335,428435.03967,1679159.9660340715,175353.2417792684,1854513.2078133398,527361.6840810385,421540.36680119444,0.0
weekday_buffer,B0,2025-07,2407527.6064166664,0.0,0.0,52644.91189333336,515353.24980999995,1867812.681584822,204917.01459987834,2072729.6961847004,389893.93435592466,232045.0400601064,0.0
weekday_buffer,B0,2025-08,2158971.675433333,0.0,0.0,21818.460570000007,596677.2660033335,1670717.2834572243,89800.51033903504,1760517.79379626,564770.3359864755,440283.264557373,0.0
weekday_buffer,B0,2025-09,1948862.1278699993,0.0,0.0,20372.389170000017,580850.6460399999,1533199.7611038138,82180.32010322841,1615380.0812070428,423133.35765708896,252153.172828707,0.0
weekday_buffer,B0,2025-10,1963655.22778,0.0,0.0,12308.49031000002,500830.12489,1541729.4632814773,48481.98687968676,1590211.450161164,512718.8223398097,298736.7935684888,0.0
weekday_buffer,B0,2025-11,2062324.506096667,0.0,0.0,14926.663580000028,289278.7623766666,1636402.5664930795,59354.573150176744,1695757.1396432566,709276.8108160502,549052.7084159579,0.0
weekday_buffer,B0,2025-12,2580220.76394,0.0,0.0,30125.77630333336,246309.60424333328,2039535.7248800204,111020.06330297844,2150555.7881829985,642658.2821691962,367749.78560493747,0.0
