template_date,decision_time,plan_version,start_slot,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-02-22,2025-02-22 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.07594769998104312,7092.905972449526,439,512,73
2025-02-22,2025-02-22 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.013311100017745048,4119.669125200618,223,260,37
2025-02-22,2025-02-23 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007683799980441108,0.0,7,8,1
2025-02-23,2025-02-23 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014907599979778752,54949.42040208272,,,
2025-02-23,2025-02-23 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.051566500012995675,40969.008989675465,655,764,109
2025-02-23,2025-02-23 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02818309998838231,30159.162977740973,439,512,73
2025-02-23,2025-02-23 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.016538500000024214,12639.692303467998,223,260,37
2025-02-23,2025-02-24 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0003414000093471259,232.456394,7,8,1
2025-02-24,2025-02-24 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023030399985145777,52179.2098058717,,,
2025-02-24,2025-02-24 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03436560000409372,38288.63774171892,655,764,109
2025-02-24,2025-02-24 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04452190001029521,29330.938633056707,439,512,73
2025-02-24,2025-02-24 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009228300012182444,13007.657050783,223,260,37
2025-02-24,2025-02-25 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007595800008857623,0.0,7,8,1
2025-02-25,2025-02-25 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.026951400010148063,53488.559797342394,,,
2025-02-25,2025-02-25 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01949350000359118,38985.32636381725,655,764,109
2025-02-25,2025-02-25 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.024909800005843863,28302.276642555247,439,512,73
2025-02-25,2025-02-25 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01697490000515245,12763.650119054731,223,260,37
2025-02-25,2025-02-26 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002859000233002007,208.0793691666667,7,8,1
