hypothesis,issue_hour,period,month,n,MAE_kw,RMSE_kw,bias_kw
H0_hour_start,6,morning_06_10,01,123,854.3118512195123,1165.1164454256568,854.3118512195123
H0_hour_start,6,morning_06_10,02,112,1091.502942857143,1364.0238190344326,1091.502942857143
H0_hour_start,6,morning_06_10,03,124,1285.1911314516128,1501.686991600187,1285.1911314516128
H0_hour_start,6,morning_06_10,04,120,1466.0839508333336,1583.4409433433611,1466.0839508333336
H0_hour_start,6,morning_06_10,05,124,1485.0338669354837,1548.6895993970586,1485.0338669354837
H0_hour_start,6,morning_06_10,06,120,1261.2440600000002,1299.1558213999785,1261.2440600000002
H0_hour_start,6,morning_06_10,07,124,1396.9015274193548,1441.3746204733764,1396.9015274193548
H0_hour_start,6,morning_06_10,08,124,1580.4650870967744,1676.8697256430376,1580.4650870967744
H0_hour_start,6,morning_06_10,09,120,1443.5527883333334,1654.8173692831697,1443.5527883333334
H0_hour_start,6,morning_06_10,10,124,1302.067014516129,1578.7826826532603,1302.067014516129
H0_hour_start,6,morning_06_10,11,120,990.1523091666667,1320.1186001422489,990.1523091666667
H0_hour_start,6,morning_06_10,12,124,834.3755411290324,1184.1650126615182,834.3755411290324
H0_hour_start,6,morning_06_10,ALL,1459,1250.358394242632,1453.5965651799147,1250.358394242632
H0_hour_start,6,night_18_06,01,367,11.120435967302452,48.76656313157831,-11.120435967302452
H0_hour_start,6,night_18_06,02,336,55.91540178571429,203.0273172264722,-55.91540178571429
H0_hour_start,6,night_18_06,03,372,120.06292526881722,415.6225000476355,-120.06292526881722
H0_hour_start,6,night_18_06,04,360,190.23477694444446,536.44667132603,-190.23477694444446
H0_hour_start,6,night_18_06,05,372,227.96001586021504,579.6870629234946,-227.96001586021504
H0_hour_start,6,night_18_06,06,360,196.53482916666664,486.7033244021677,-195.91238805555557
H0_hour_start,6,night_18_06,07,372,216.52632634408602,541.114616547809,-216.52603655913978
H0_hour_start,6,night_18_06,08,372,218.33549005376338,582.3946608172079,-218.33549005376338
H0_hour_start,6,night_18_06,09,360,152.72685916666666,496.9901744325064,-152.72685916666666
H0_hour_start,6,night_18_06,10,372,86.85725806451612,312.9856327742292,-86.85725806451612
H0_hour_start,6,night_18_06,11,360,22.79864583333333,90.27995302374026,-22.79864583333333
H0_hour_start,6,night_18_06,12,372,0.5792338709677419,4.268782618068363,-0.5792338709677419
H0_hour_start,6,night_18_06,ALL,4375,125.49817595428571,415.7653144937557,-125.44693330285715
H0_hour_start,6,noon_10_14,01,124,759.7913629032258,897.1932438900569,533.9859
H0_hour_start,6,noon_10_14,02,112,821.7471553571429,997.9903609418761,592.5414285714287
H0_hour_start,6,noon_10_14,03,124,923.4365854838711,1077.797921086889,713.7761935483873
